State,Brand,Registered Users,TotalUsersByState,BrandUsageRatio
Uttar Pradesh,Xiaomi,64303360,246200404,0.26118299952099183
Uttarakhand,Apple,648014,23792747,0.027235779038040458
Uttarakhand,Huawei,372968,23792747,0.015675701506849965
Uttarakhand,Lava,34399,23792747,0.0014457767318754745
Uttarakhand,Lenovo,260667,23792747,0.010955733694810439
Uttarakhand,Micromax,133978,23792747,0.005631043779854424
Uttarakhand,Motorola,562322,23792747,0.023634177255783033
Uttarakhand,OnePlus,386886,23792747,0.01626066969064144
Uttarakhand,Oppo,3407638,23792747,0.14322171374326806
Uttarakhand,Others,2457254,23792747,0.1032774399694159
Uttarakhand,Realme,1425817,23792747,0.059926539798031725
Uttarakhand,Samsung,4663414,23792747,0.1960014957499443
Uttarakhand,Vivo,3919685,23792747,0.16474285209690162
Uttarakhand,Xiaomi,5519705,23792747,0.23199107694458315
West Bengal,Apple,201393,144242183,0.0013962143099290171
West Bengal,Asus,2775479,144242183,0.019241798357974103
West Bengal,Gionee,206751,144242183,0.001433360170374016
West Bengal,Huawei,2239841,144242183,0.015528335424596284
West Bengal,Lenovo,3791546,144242183,0.02628597211399664
West Bengal,Micromax,1981032,144242183,0.013734068348092042
West Bengal,Motorola,4002771,144242183,0.02775034956313716
West Bengal,Oppo,14657599,144242183,0.10161797814721094
West Bengal,Others,17526532,144242183,0.12150767296692952
West Bengal,Realme,9322038,144242183,0.06462768245818909
West Bengal,Samsung,30516315,144242183,0.211563041859953
West Bengal,Vivo,18755122,144242183,0.1300252229266386
West Bengal,Xiaomi,38265764,144242183,0.2652883033529796
