State,Period,Transaction Type,Transactions
Uttar Pradesh,2018-Q3,Peer-to-peer payments,13828768
Uttar Pradesh,2018-Q4,Peer-to-peer payments,15804910
Uttar Pradesh,2019-Q1,Peer-to-peer payments,32062452
Uttar Pradesh,2019-Q2,Peer-to-peer payments,27105049
Uttar Pradesh,2019-Q3,Peer-to-peer payments,26990786
Uttar Pradesh,2019-Q4,Peer-to-peer payments,40540310
Uttar Pradesh,2020-Q1,Peer-to-peer payments,39581157
Uttar Pradesh,2020-Q2,Recharge & bill payments,42229417
Uttar Pradesh,2020-Q3,Peer-to-peer payments,54449911
Uttar Pradesh,2020-Q4,Peer-to-peer payments,75433782
Uttar Pradesh,2021-Q1,Peer-to-peer payments,85539321
Uttar Pradesh,2021-Q2,Peer-to-peer payments,102927942
Uttarakhand,2018-Q1,Recharge & bill payments,730428
Uttarakhand,2018-Q2,Recharge & bill payments,946332
Uttarakhand,2018-Q3,Peer-to-peer payments,1049725
Uttarakhand,2018-Q4,Peer-to-peer payments,1556731
Uttarakhand,2019-Q1,Peer-to-peer payments,3499130
Uttarakhand,2019-Q2,Peer-to-peer payments,2383662
Uttarakhand,2019-Q3,Peer-to-peer payments,2313544
Uttarakhand,2019-Q4,Peer-to-peer payments,3210116
Uttarakhand,2020-Q1,Peer-to-peer payments,3792776
Uttarakhand,2020-Q2,Recharge & bill payments,3755695
Uttarakhand,2020-Q3,Peer-to-peer payments,4836512
